Roll angle (degrees),Left camber (degrees)
-1.5,-0.27326783450932624
-1.2857142857142858,-0.23783012655330538
-1.0714285714285716,-0.20295062733991642
-0.8571428571428573,-0.1686435509625852
-0.642857142857143,-0.13492324392485955
-0.4285714285714287,-0.10180418878347552
-0.21428571428571444,-0.06930100785105253
-1.6653345369377348e-16,-0.03742846695686808
0.2142857142857141,-0.006201479269634547
0.4285714285714284,0.02436489081830473
0.6428571428571427,0.05425542374261738
0.857142857142857,0.08345474075447612
1.0714285714285712,0.11194729984104868
1.2857142857142854,0.13971739157858565
1.4999999999999996,0.1667491349161878
